LA or CTY,RGN19NM,RGN19CD,GSS_CD,GSS_NM,17-Mar,18-Mar
LA,London,E12000007,E09000002,Barking and Dagenham,9,14
LA,London,E12000007,E09000003,Barnet,24,27
LA,Yorkshire and The Humber,E12000003,E08000016,Barnsley,2,6
LA,South West,E12000009,E06000022,Bath and North East Somerset,3,3
LA,East of England,E12000006,E06000055,Bedford,1,1
LA,London,E12000007,E09000004,Bexley,14,17
LA,West Midlands,E12000005,E08000025,Birmingham,20,25
LA,North West,E12000002,E06000008,Blackburn with Darwen,1,1
LA,North West,E12000002,E06000009,Blackpool,3,4
LA,North West,E12000002,E08000001,Bolton,5,7
LA,South West,E12000009,E06000058,"Bournemouth, Christchurch and Poole",6,7
LA,South East,E12000008,E06000036,Bracknell Forest,3,3
LA,Yorkshire and The Humber,E12000003,E08000032,Bradford,7,8
LA,London,E12000007,E09000005,Brent,24,45
LA,South East,E12000008,E06000043,Brighton and Hove,9,11
LA,South West,E12000009,E06000023,"Bristol, City of",8,12
LA,London,E12000007,E09000006,Bromley,23,32
CTY,South East,E12000008,E10000002,Buckinghamshire,23,27
LA,North West,E12000002,E08000002,Bury,7,7
LA,Yorkshire and The Humber,E12000003,E08000033,Calderdale,3,3
CTY,East of England,E12000006,E10000003,Cambridgeshire,12,14
LA,London,E12000007,E09000007,Camden,20,30
LA,East of England,E12000006,E06000056,Central Bedfordshire,6,6
LA,North West,E12000002,E06000049,Cheshire East,7,8
LA,North West,E12000002,E06000050,Cheshire West and Chester,5,5
LA,South West,E12000009,E06000052,Cornwall and Isles of Scilly,10,10
LA,North East,E12000001,E06000047,County Durham,1,3
LA,West Midlands,E12000005,E08000026,Coventry,3,4
LA,London,E12000007,E09000008,Croydon,6,32
CTY,North West,E12000002,E10000006,Cumbria,22,34
LA,North East,E12000001,E06000005,Darlington,1,2
LA,East Midlands,E12000004,E06000015,Derby,0,11
CTY,East Midlands,E12000004,E10000007,Derbyshire,5,27
CTY,South West,E12000009,E10000008,Devon,24,25
LA,Yorkshire and The Humber,E12000003,E08000017,Doncaster,0,3
LA,South West,E12000009,E06000059,Dorset,2,5
LA,West Midlands,E12000005,E08000027,Dudley,9,10
LA,London,E12000007,E09000009,Ealing,21,42
LA,Yorkshire and The Humber,E12000003,E06000011,East Riding of Yorkshire,9,10
CTY,South East,E12000008,E10000011,East Sussex,7,8
LA,London,E12000007,E09000010,Enfield,10,27
CTY,East of England,E12000006,E10000012,Essex,21,27
LA,North East,E12000001,E08000037,Gateshead,0,1
CTY,South West,E12000009,E10000013,Gloucestershire,11,12
LA,London,E12000007,E09000011,Greenwich,19,19
LA,London,E12000007,E09000012,Hackney and City of London,22,29
LA,North West,E12000002,E06000006,Halton,3,4
LA,London,E12000007,E09000013,Hammersmith and Fulham,23,25
CTY,South East,E12000008,E10000014,Hampshire,69,77
LA,London,E12000007,E09000014,Haringey,17,29
LA,London,E12000007,E09000015,Harrow,15,40
LA,North East,E12000001,E06000001,Hartlepool,0,1
LA,London,E12000007,E09000016,Havering,7,7
LA,West Midlands,E12000005,E06000019,"Herefordshire, County of",1,3
CTY,East of England,E12000006,E10000015,Hertfordshire,36,50
LA,London,E12000007,E09000017,Hillingdon,16,21
LA,London,E12000007,E09000018,Hounslow,15,24
LA,South East,E12000008,E06000046,Isle of Wight,2,2
LA,London,E12000007,E09000019,Islington,11,29
LA,London,E12000007,E09000020,Kensington and Chelsea,49,55
CTY,South East,E12000008,E10000016,Kent,18,21
LA,Yorkshire and The Humber,E12000003,E06000010,"Kingston upon Hull, City of",1,1
LA,London,E12000007,E09000021,Kingston upon Thames,1,7
LA,Yorkshire and The Humber,E12000003,E08000034,Kirklees,2,2
LA,North West,E12000002,E08000011,Knowsley,1,1
LA,London,E12000007,E09000022,Lambeth,43,61
CTY,North West,E12000002,E10000017,Lancashire,15,15
LA,Yorkshire and The Humber,E12000003,E08000035,Leeds,11,12
LA,East Midlands,E12000004,E06000016,Leicester,0,3
CTY,East Midlands,E12000004,E10000018,Leicestershire,7,14
LA,London,E12000007,E09000023,Lewisham,18,22
CTY,East Midlands,E12000004,E10000019,Lincolnshire,4,7
LA,North West,E12000002,E08000012,Liverpool,11,12
LA,East of England,E12000006,E06000032,Luton,3,3
LA,North West,E12000002,E08000003,Manchester,14,18
LA,South East,E12000008,E06000035,Medway,4,4
LA,London,E12000007,E09000024,Merton,13,34
LA,North East,E12000001,E06000002,Middlesbrough,0,0
LA,South East,E12000008,E06000042,Milton Keynes,3,4
LA,North East,E12000001,E08000021,Newcastle upon Tyne,5,13
LA,London,E12000007,E09000025,Newham,17,23
CTY,East of England,E12000006,E10000020,Norfolk,3,4
LA,Yorkshire and The Humber,E12000003,E06000012,North East Lincolnshire,0,0
LA,Yorkshire and The Humber,E12000003,E06000013,North Lincolnshire,1,1
LA,South West,E12000009,E06000024,North Somerset,3,4
LA,North East,E12000001,E08000022,North Tyneside,3,7
CTY,Yorkshire and The Humber,E12000003,E10000023,North Yorkshire,8,11
CTY,East Midlands,E12000004,E10000021,Northamptonshire,12,15
LA,North East,E12000001,E06000057,Northumberland,0,4
LA,East Midlands,E12000004,E06000018,Nottingham,12,14
CTY,East Midlands,E12000004,E10000024,Nottinghamshire,13,28
LA,North West,E12000002,E08000004,Oldham,10,12
CTY,South East,E12000008,E10000025,Oxfordshire,25,34
LA,East of England,E12000006,E06000031,Peterborough,0,2
LA,South West,E12000009,E06000026,Plymouth,2,5
LA,South East,E12000008,E06000044,Portsmouth,3,4
LA,South East,E12000008,E06000038,Reading,3,5
LA,London,E12000007,E09000026,Redbridge,4,7
LA,North East,E12000001,E06000003,Redcar and Cleveland,1,1
LA,London,E12000007,E09000027,Richmond upon Thames,3,7
LA,North West,E12000002,E08000005,Rochdale,4,6
LA,Yorkshire and The Humber,E12000003,E08000018,Rotherham,1,4
LA,East Midlands,E12000004,E06000017,Rutland,0,0
LA,North West,E12000002,E08000006,Salford,4,4
LA,West Midlands,E12000005,E08000028,Sandwell,6,6
LA,North West,E12000002,E08000014,Sefton,3,4
LA,Yorkshire and The Humber,E12000003,E08000019,Sheffield,1,36
LA,West Midlands,E12000005,E06000051,Shropshire,2,3
LA,South East,E12000008,E06000039,Slough,12,13
LA,West Midlands,E12000005,E08000029,Solihull,1,1
CTY,South West,E12000009,E10000027,Somerset,5,7
LA,South West,E12000009,E06000025,South Gloucestershire,6,9
LA,North East,E12000001,E08000023,South Tyneside,0,2
LA,South East,E12000008,E06000045,Southampton,3,4
LA,East of England,E12000006,E06000033,Southend-on-Sea,4,5
LA,London,E12000007,E09000028,Southwark,58,70
LA,North West,E12000002,E08000013,St. Helens,2,2
CTY,West Midlands,E12000005,E10000028,Staffordshire,10,14
LA,North West,E12000002,E08000007,Stockport,10,10
LA,North East,E12000001,E06000004,Stockton-on-Tees,3,6
LA,West Midlands,E12000005,E06000021,Stoke-on-Trent,0,1
CTY,East of England,E12000006,E10000029,Suffolk,3,10
LA,North East,E12000001,E08000024,Sunderland,1,3
CTY,South East,E12000008,E10000030,Surrey,30,39
LA,London,E12000007,E09000029,Sutton,10,12
LA,South West,E12000009,E06000030,Swindon,2,3
LA,North West,E12000002,E08000008,Tameside,10,12
LA,West Midlands,E12000005,E06000020,Telford and Wrekin,0,0
LA,East of England,E12000006,E06000034,Thurrock,1,2
LA,South West,E12000009,E06000027,Torbay,6,6
LA,London,E12000007,E09000030,Tower Hamlets,23,25
LA,North West,E12000002,E08000009,Trafford,12,14
LA,Yorkshire and The Humber,E12000003,E08000036,Wakefield,4,5
LA,West Midlands,E12000005,E08000030,Walsall,13,14
LA,London,E12000007,E09000031,Waltham Forest,7,14
LA,London,E12000007,E09000032,Wandsworth,21,59
LA,North West,E12000002,E06000007,Warrington,3,4
CTY,West Midlands,E12000005,E10000031,Warwickshire,4,10
LA,South East,E12000008,E06000037,West Berkshire,3,3
CTY,South East,E12000008,E10000032,West Sussex,10,10
LA,London,E12000007,E09000033,Westminster,58,68
LA,North West,E12000002,E08000010,Wigan,4,4
LA,South West,E12000009,E06000054,Wiltshire,7,9
LA,South East,E12000008,E06000040,Windsor and Maidenhead,9,10
LA,North West,E12000002,E08000015,Wirral,6,8
LA,South East,E12000008,E06000041,Wokingham,8,10
LA,West Midlands,E12000005,E08000031,Wolverhampton,18,22
CTY,West Midlands,E12000005,E10000034,Worcestershire,1,5
LA,Yorkshire and The Humber,E12000003,E06000014,York,3,4